序号,片名
1,指环王1
2,指环王2
3,指环王3
4,变形金刚1
5,变形金刚2
6,变形金刚3
7,勇敢的心
8,华尔街
9,华尔街2
10,了不起的盖茨比
11,楚门的世界
12,无间道
13,泰坦尼克号
14,阿凡达
15,哈利波特1
16,从你的全世界路过
17,星际迷航
18,龙猫
19,流浪地球
20,憨豆先生的假期
21,七月与安生
22,诸神之怒
23,怦然心动
24,斯巴达300勇士
25,天国王朝
26,海蒂和爷爷
27,致青春
28,放牛班的春天
29,诸神之战
30,大话西游之大圣娶妻
31,血钻
32,燃点
33,本杰明巴顿奇事
34,兵临城下
35,赌侠1999
36,倩女幽魂1
37,倩女幽魂2
38,倩女幽魂3
39,烈日灼心
40,闻香识女人
41,盗梦空间
42,复仇者联盟4
43,老师好
44,社交网络
45,高考1977
46,实习生
47,布达佩斯大饭店
48,全面回忆
49,史前一万年
50,时间旅行者的妻子
51,大护法
52,涉足荒野
53,何以笙箫默
54,惊奇队长
55,罗曼蒂克消亡史
56,阿丽塔：战斗天使
57,一生一世
58,教父1
59,教父2
60,教父3
61,唐山大地震
62,忘不了
67,肖申克的救赎
68,扫毒2：天地对决
69,门徒
70,龙在边缘
71,龙在江湖
72,观音山
73,北京遇见西雅图
74,北京遇上西雅图之不二情书
75,廊桥遗梦
